epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.8982698799783871,0.9842073752805577,0.8365478848516941,0.35529536,0.40854016,0.05285655,0.01985583
2,0.9340433445043291,0.9833128453672513,0.16491150377690791,0.056701858,0.097661145,0.002048233,0.008500264
3,0.9521113122162531,0.9834415575635952,0.11567493115365506,0.03780069,0.069898196,0.0010791734,0.0068968767
4,0.9563839882648284,0.9864035062397166,0.09873625511676073,0.031866204,0.060004726,0.0007394237,0.0061258995
5,0.958429805858085,0.9834669144931635,0.08773512693494559,0.027657798,0.053886,0.0005521568,0.005639169
6,0.959655851640711,0.9834792014436561,0.07947553608566522,0.024507064,0.049102794,0.0004939601,0.005371714
7,0.9625815030383801,0.9834752692187381,0.07359542804211378,0.022653086,0.045492608,0.000396925,0.0050528077
8,0.9633526845285079,0.9866562296223066,0.06747602315247059,0.020472938,0.041880783,0.0003108452,0.0048114546
9,0.9645703186615503,0.9834868704261731,0.0640935216397047,0.019220935,0.039887253,0.00033427178,0.004651057
10,0.9636593591543093,0.9834808548544751,0.061488370802253486,0.018354123,0.03836382,0.00033915084,0.004431274
