epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.7150960515713484,0.888616299134845,1.214505255281925,0.47711083,0.4561516,0.23607467,0.045168128
2,0.8378758566649345,0.9609295320169761,0.3526596799194813,0.14317144,0.17611706,0.013260733,0.020110426
3,0.8748586425479509,0.9692844945143159,0.23683451852202417,0.09168015,0.12301407,0.0067566177,0.015383683
4,0.8846401475455036,0.9714628046208958,0.1931618703454733,0.07257947,0.10307739,0.0043225707,0.013182432
5,0.8927365171125585,0.9725364726198092,0.1658901834487915,0.059254847,0.0914776,0.0032422321,0.011915504
6,0.8998196287916643,0.973079335879731,0.145357951939106,0.050391853,0.081602536,0.0025657176,0.01079785
7,0.9028496747990984,0.9734915166827318,0.12867578472197055,0.04245137,0.074166805,0.00183598,0.010221636
8,0.9014103670782073,0.9710494405774814,0.11942451591789723,0.03786781,0.07033485,0.0016481602,0.009573694
9,0.9058731470379833,0.9737582456652303,0.1098633871972561,0.03367997,0.06584519,0.0013307137,0.009007511
10,0.905605191868655,0.9713302083601085,0.10295748722553254,0.03144889,0.061846435,0.0011427421,0.008519415
